Series,Market,Body Model,Seq,CPOS,Brand,Format,Font,Description1,unknown2,Special,Description2
H,C,DD8L93,3,2TH,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,LARAMIE 4X4
H,C,DD8L93,4,,A14,2,A19,RAM 3500 CREW CHASSIS CAB,,,ST 4X4
H,C,DF3,1,,A14,2,A25,RAM 3500 CC 4X2 SRW 4491,,,KG GVWR
H,C,DF3L63,1,2TA,A14,2,A19,RAM 3500 REG CC ST 4X2 SR,,,W 4491 KG GVWR
H,C,DF3L63,2,2TG,A14,2,A19,RAM 3500 REG CC SLT 4X2 S,,,RW 4491 KG GVWR
H,C,DF3L63,3,,A14,2,A19,RAM 3500 REG CC ST 4X2 SR,,,W 4491 KG GVWR
H,C,DF3L93,1,2TA,A14,2,A19,RAM 3500 CREW CC ST 4X2 S,,,RW 4491 KG GVWR
H,C,DF3L93,2,2TG,A14,2,A19,RAM 3500 CREW CC SLT 4X2,,,SRW 4491 KG GVWR
H,C,DF3L93,3,2TH,A14,2,A19,RAM 3500 CREW CC LARAMIE,,,4X2 SRW 4491 KG GVWR
H,C,DF3L93,4,,A14,2,A19,RAM 3500 CREW CC ST 4X2 S,,,RW 4491 KG GVWR
H,C,DF8,1,,A14,2,A25,RAM 3500 CC 4X4 SRW 4491,,,KG GVWR
H,C,DF8L63,1,2TA,A14,2,A19,RAM 3500 REG CC ST 4X4 SR,,,W 4491 KG GVWR
H,C,DF8L63,2,2TG,A14,2,A19,RAM 3500 REG CC SLT 4X4 S,,,RW 4491 KG GVWR
H,C,DF8L63,3,,A14,2,A19,RAM 3500 REG CC ST 4X4 SR,,,W 4491 KG GVWR
H,C,DF8L93,1,2TA,A14,2,A19,RAM 3500 CREW CC ST 4X4 S,,,RW 4491 KG GVWR
H,C,DF8L93,2,2TG,A14,2,A19,RAM 3500 CREW CC SLT 4X4,,,SRW 4491 KG GVWR
H,C,DF8L93,3,2TH,A14,2,A19,RAM 3500 CREW CC LARAMIE,,,4X4 SRW 4491 KG GVWR
H,C,DF8L93,4,,A14,2,A19,RAM 3500 CREW CC ST 4X4 S,,,RW 4491 KG GVWR
H,C,DJ2,1,,A14,B,A29,RAM 2500 4X2,,,
H,C,DJ2H62,1,2TG,A14,B,A29,RAM 2500 SLT REG CAB 4X2,,,
H,C,DJ2H62,2,,A14,B,A29,RAM 2500 SLT REG CAB 4X2,,,
H,C,DJ2H81,1,2TG,A14,B,A29,RAM 2500 SLT MEGA CAB 4X2,,,
H,C,DJ2H81,2,,A14,B,A29,RAM 2500 SLT MEGA CAB 4X2,,,
H,C,DJ2H91,1,2TG,A14,B,A29,RAM 2500 SLT CREW CAB 4X2,,,
H,C,DJ2H91,2,,A14,B,A29,RAM 2500 SLT CREW CAB 4X2,,,
H,C,DJ2H92,1,2TG,A14,B,A29,RAM 2500 SLT CREW CAB 4X2,,,
H,C,DJ2H92,2,,A14,B,A29,RAM 2500 SLT CREW CAB 4X2,,,
H,C,DJ2L62,1,AGR,A14,B,A29,RAM 2500 SXT REG CAB 4X2,,,
H,C,DJ2L62,2,2TA,A14,B,A29,RAM 2500 ST REG CAB 4X2,,,
H,C,DJ2L62,3,,A14,B,A29,RAM 2500 ST REG CAB 4X2,,,
H,C,DJ2L91,1,AGR,A14,B,A29,RAM 2500 SXT CREW CAB 4X2,,,
H,C,DJ2L91,2,2TA,A14,B,A29,RAM 2500 ST CREW CAB 4X2,,,
H,C,DJ2L91,3,,A14,B,A29,RAM 2500 ST CREW CAB 4X2,,,
H,C,DJ2L92,1,AGR,A14,B,A29,RAM 2500 SXT CREW CAB 4X2,,,
H,C,DJ2L92,2,AH4,A14,B,A29,RAM 3500 ST CREW CAB 4X2,,,
H,C,DJ2L92,3,2TA,A14,B,A29,RAM 2500 ST CREW CAB 4X2,,,
H,C,DJ2L92,4,,A14,B,A29,RAM 2500 ST CREW CAB 4X2,,,
H,C,DJ2P81,1,2TH,A14,2,A25,RAM 2500 LARAMIE MEGA CAB,,,4X2
H,C,DJ2P81,2,,A14,2,A25,RAM 2500 LARAMIE MEGA CAB,,,4X2
H,C,DJ2P91,1,2TH,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X2
H,C,DJ2P91,2,,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X2
H,C,DJ2P92,1,2TH,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X2
H,C,DJ2P92,2,,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X2
H,C,DJ2R81,1,2TK,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,MEGA CAB 4X2
H,C,DJ2R81,2,2TM,A14,2,A19,RAM 2500 LARAMIE LIMITED,,,MEGA CAB 4X2
H,C,DJ2R81,3,,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,MEGA CAB 4X2
H,C,DJ2R91,1,2TK,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X2
H,C,DJ2R91,2,2TM,A14,2,A19,RAM 2500 LARAMIE LIMITED,,,CREW CAB 4X2
H,C,DJ2R91,3,,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X2
H,C,DJ2R92,1,2TK,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X2
H,C,DJ2R92,2,2TM,A14,2,A19,RAM 2500 LARAMIE LIMITED,,,CREW CAB 4X2
H,C,DJ2R92,3,,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X2
H,C,DJ7,1,,A14,B,A29,RAM 2500 4X4,,,
H,C,DJ7H62,1,2TG,A14,B,A29,RAM 2500 SLT REG CAB 4X4,,,
H,C,DJ7H62,2,,A14,B,A29,RAM 2500 SLT REG CAB 4X4,,,
H,C,DJ7H81,1,2TG,A14,B,A29,RAM 2500 SLT MEGA CAB 4X4,,,
H,C,DJ7H81,2,,A14,B,A29,RAM 2500 SLT MEGA CAB 4X4,,,
H,C,DJ7H91,1,2TG,A14,B,A29,RAM 2500 SLT CREW CAB 4X4,,,
H,C,DJ7H91,2,2TT,A14,2,A19,RAM 2500 OUTDOORSMAN CREW,,,CAB 4X4
H,C,DJ7H91,3,,A14,B,A29,RAM 2500 SLT CREW CAB 4X4,,,
H,C,DJ7H92,1,2TG,A14,B,A29,RAM 2500 SLT CREW CAB 4X4,,,
H,C,DJ7H92,2,,A14,B,A29,RAM 2500 SLT CREW CAB 4X4,,,
H,C,DJ7L62,1,AGR,A14,B,A29,RAM 2500 SXT REG CAB 4X4,,,
H,C,DJ7L62,2,2TA,A14,B,A29,RAM 2500 ST REG CAB 4X4,,,
H,C,DJ7L62,3,,A14,B,A29,RAM 2500 ST REG CAB 4X4,,,
H,C,DJ7L91,1,AGR,A14,B,A29,RAM 2500 SXT CREW CAB 4X4,,,
H,C,DJ7L91,2,2TA,A14,B,A29,RAM 2500 ST CREW CAB 4X4,,,
H,C,DJ7L91,3,2TB,A14,2,A19,RAM 2500 ST POWER WAGON C,,,REW CAB 4X4
H,C,DJ7L91,4,,A14,B,A29,RAM 2500 ST CREW CAB 4X4,,,
H,C,DJ7L92,1,AGR,A14,B,A29,RAM 2500 SXT CREW CAB 4X4,,,
H,C,DJ7L92,2,2TA,A14,B,A29,RAM 2500 ST CREW CAB 4X4,,,
H,C,DJ7L92,3,,A14,B,A29,RAM 2500 ST CREW CAB 4X4,,,
H,C,DJ7P81,1,2TH,A14,2,A25,RAM 2500 LARAMIE MEGA CAB,,,4X4
H,C,DJ7P81,2,,A14,2,A25,RAM 2500 LARAMIE MEGA CAB,,,4X4
H,C,DJ7P91,1,2TH,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X4
H,C,DJ7P91,2,2TJ,A14,2,A19,RAM 2500 LARAMIE POWER WA,,,GON CREW CAB 4X4
H,C,DJ7P91,3,,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X4
H,C,DJ7P92,1,2TH,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X4
H,C,DJ7P92,2,,A14,2,A25,RAM 2500 LARAMIE CREW CAB,,,4X4
H,C,DJ7R81,1,2TK,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,MEGA CAB 4X4
H,C,DJ7R81,2,2TM,A14,2,A19,RAM 2500 LARAMIE LIMITED,,,MEGA CAB 4X4
H,C,DJ7R81,3,,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,MEGA CAB 4X4
H,C,DJ7R91,1,2TK,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X4
H,C,DJ7R91,2,2TM,A14,2,A19,RAM 2500 LARAMIE LIMITED,,,CREW CAB 4X4
H,C,DJ7R91,3,,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X4
H,C,DJ7R92,1,2TK,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X4
H,C,DJ7R92,2,2TM,A14,2,A19,RAM 2500 LARAMIE LIMITED,,,CREW CAB 4X4
H,C,DJ7R92,3,,A14,2,A19,RAM 2500 LARAMIE LONGHORN,,,CREW CAB 4X4
H,C,DJ7X91,1,2TP,A14,2,A19,RAM 2500 SLT POWER WAGON,,,CREW CAB 4X4
H,C,DJ7X91,2,,A14,2,A19,RAM 2500 SLT POWER WAGON,,,CREW CAB 4X4
H,C,DP0,1,,A14,2,A19,RAM 5500 CAB CHASSIS 4X4,,,
H,C,DP0L63,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L63,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP0L63,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L64,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L64,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP0L64,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L65,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L65,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP0L65,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L66,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L66,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP0L66,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X4
H,C,DP0L93,1,2TA,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X4
H,C,DP0L93,2,2TG,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,SLT 4X4
H,C,DP0L93,3,2TH,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,LARAMIE 4X4
H,C,DP0L93,4,,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X4
H,C,DP0L94,1,2TA,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X4
H,C,DP0L94,2,2TG,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,SLT 4X4
H,C,DP0L94,3,2TH,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,LARAMIE 4X4
H,C,DP0L94,4,,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X4
H,C,DP4,1,,A14,2,A19,RAM 4500 CAB CHASSIS 4X2,,,
H,C,DP4L63,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L63,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP4L63,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L64,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L64,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP4L64,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L65,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L65,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP4L65,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L66,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L66,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP4L66,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X2
H,C,DP4L93,1,2TA,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP4L93,2,2TG,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,SLT 4X2
H,C,DP4L93,3,2TH,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,LARAMIE 4X2
H,C,DP4L93,4,,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP4L94,1,2TA,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP4L94,2,2TG,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,SLT 4X2
H,C,DP4L94,3,2TH,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,LARAMIE 4X2
H,C,DP4L94,4,,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP5,1,,A14,2,A19,RAM 5500 CAB CHASSIS 4X2,,,
H,C,DP5L63,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L63,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP5L63,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L64,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L64,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP5L64,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L65,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L65,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP5L65,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L66,1,2TA,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L66,2,2TG,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,SLT 4X2
H,C,DP5L66,3,,A14,2,A19,RAM 5500 REG CAB CHASSIS,,,ST 4X2
H,C,DP5L93,1,2TA,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP5L93,2,2TG,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,SLT 4X2
H,C,DP5L93,3,2TH,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,LARAMIE 4X2
H,C,DP5L93,4,,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP5L94,1,2TA,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP5L94,2,2TG,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,SLT 4X2
H,C,DP5L94,3,2TH,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,LARAMIE 4X2
H,C,DP5L94,4,,A14,2,A19,RAM 5500 CREW CAB CHASSIS,,,ST 4X2
H,C,DP9,1,,A14,2,A19,RAM 4500 CAB CHASSIS 4X4,,,
H,C,DP9L63,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L63,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP9L63,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L64,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L64,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP9L64,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L65,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L65,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP9L65,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L66,1,2TA,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L66,2,2TG,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,SLT 4X4
H,C,DP9L66,3,,A14,2,A19,RAM 4500 REG CAB CHASSIS,,,ST 4X4
H,C,DP9L93,1,2TA,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,ST 4X4
H,C,DP9L93,2,2TG,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,SLT 4X4
H,C,DP9L93,3,2TH,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,LARAMIE 4X4
H,C,DP9L93,4,,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,ST 4X4
H,C,DP9L94,1,2TG,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,SLT 4X4
H,C,DP9L94,2,2TH,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,LARAMIE 4X4
H,C,DP9L94,3,,A14,2,A19,RAM 4500 CREW CAB CHASSIS,,,SLT 4X4
H,C,DS1,1,,A14,B,A29,RAM 1500 4X2,,,
H,C,DS1E41,1,2TE,A14,B,A29,RAM 1500 HFE QUAD CAB 4X2,,,
H,C,DS1E41,2,,A14,B,A29,RAM 1500 HFE QUAD CAB 4X2,,,
H,C,DS1E61,1,2TP,A14,B,A29,RAM 1500 HFE REG CAB 4X2,,,
H,C,DS1E61,2,,A14,B,A29,RAM 1500 HFE REG CAB 4X2,,,
H,C,DS1H41,1,2TG,A14,B,A29,RAM 1500 SLT QUAD CAB 4X2,,,
H,C,DS1H41,2,2TT,A14,2,A19,RAM 1500 OUTDOORSMAN QUAD,,,CAB 4X2
H,C,DS1H41,3,2TX,A14,2,A19,RAM 1500 BIG HORN QUAD CA,,,B 4X2
H,C,DS1H41,4,,A14,B,A29,RAM 1500 SLT QUAD CAB 4X2,,,
H,C,DS1H61,1,2TG,A14,B,A29,RAM 1500 SLT REG CAB 4X2,,,
H,C,DS1H61,2,2TT,A14,2,A19,RAM 1500 OUTDOORSMAN REG,,,CAB 4X2
H,C,DS1H61,3,,A14,B,A29,RAM 1500 SLT REG CAB 4X2,,,
H,C,DS1H62,1,2TG,A14,B,A29,RAM 1500 SLT REG CAB 4X2,,,
H,C,DS1H62,2,2TT,A14,2,A19,RAM 1500 OUTDOORSMAN REG,,,CAB 4X2
H,C,DS1H62,3,,A14,B,A29,RAM 1500 SLT REG CAB 4X2,,,
H,C,DS1H91,1,2TG,A14,B,A29,RAM 1500 SLT CREW CAB 4X2,,,
H,C,DS1H91,2,2TT,A14,2,A19,RAM 1500 OUTDOORSMAN CREW,,,CAB 4X2
H,C,DS1H91,3,2TX,A14,2,A19,RAM 1500 BIG HORN CREW CA,,,B 4X2
H,C,DS1H91,4,,A14,B,A29,RAM 1500 SLT CREW CAB 4X2,,,
H,C,DS1H98,1,2TG,A14,B,A29,RAM 1500 SLT CREW CAB 4X2,,,
H,C,DS1H98,2,2TT,A14,2,A19,RAM 1500 OUTDOORSMAN CREW,,,CAB 4X2
H,C,DS1H98,3,2TX,A14,2,A19,RAM 1500 BIG HORN CREW CA,,,B 4X2
H,C,DS1H98,4,,A14,B,A29,RAM 1500 SLT CREW CAB 4X2,,,
H,C,DS1L41,1,AGR,A14,B,A29,RAM 1500 SXT QUAD CAB 4X2,,,
H,C,DS1L41,2,AMQ,A14,2,A25,RAM 1500 BLACK EXPRESS QU,,,AD CAB 4X2
H,C,DS1L41,3,2TA,A14,B,A29,RAM 1500 ST QUAD CAB 4X2,,,
H,C,DS1L41,4,2TB,A14,2,A25,RAM 1500 TRADESMAN QUAD C,,,AB 4X2
H,C,DS1L41,5,2TJ,A14,2,A25,RAM 1500 EXPRESS QUAD CAB,,,4X2
H,C,DS1L41,6,,A14,B,A29,RAM 1500 ST QUAD CAB 4X2,,,
H,C,DS1L61,1,AGR,A14,B,A29,RAM 1500 SXT REG CAB 4X2,,,
H,C,DS1L61,2,AMQ,A14,2,A25,RAM 1500 BLACK EXPRESS RE,,,G CAB 4X2
H,C,DS1L61,3,2TA,A14,B,A29,RAM 1500 ST REG CAB 4X2,,,
H,C,DS1L61,4,2TB,A14,2,A25,RAM 1500 TRADESMAN REG CA,,,B 4X2
H,C,DS1L61,5,2TC,A14,2,A29,RAM 1500 EXPRESS REG CAB,,,4X2
H,C,DS1L61,6,2TJ,A14,2,A29,RAM 1500 EXPRESS REG CAB,,,4X2
H,C,DS1L61,7,2TP,A14,B,A29,RAM 1500 HFE REG CAB 4X2,,,
H,C,DS1L61,8,,A14,B,A29,RAM 1500 ST REG CAB 4X2,,,
H,C,DS1L62,1,AGR,A14,B,A29,RAM 1500 SXT REG CAB 4X2,,,
H,C,DS1L62,2,2TA,A14,B,A29,RAM 1500 ST REG CAB 4X2,,,
H,C,DS1L62,3,2TB,A14,2,A25,RAM 1500 TRADESMAN REG CA,,,B 4X2
H,C,DS1L62,4,,A14,B,A29,RAM 1500 ST REG CAB 4X2,,,
H,C,DS1L91,1,AGR,A14,B,A29,RAM 1500 SXT CREW CAB 4X2,,,
H,C,DS1L91,2,2TA,A14,B,A29,RAM 1500 ST CREW CAB 4X2,,,
H,C,DS1L91,3,2TB,A14,2,A25,RAM 1500 TRADESMAN CREW C,,,AB 4X2
H,C,DS1L91,4,,A14,B,A29,RAM 1500 ST CREW CAB 4X2,,,
H,C,DS1L98,1,AGR,A14,B,A29,RAM 1500 SXT CREW CAB 4X2,,,
H,C,DS1L98,2,AMQ,A14,2,A25,RAM 1500 BLACK EXPRESS CR,,,EW CAB 4X2
H,C,DS1L98,3,2TA,A14,B,A29,RAM 1500 ST CREW CAB 4X2,,,
H,C,DS1L98,4,2TB,A14,2,A25,RAM 1500 TRADESMAN CREW C,,,AB 4X2
H,C,DS1L98,5,2TJ,A14,2,A25,RAM 1500 EXPRESS CREW CAB,,,4X2
H,C,DS1L98,6,,A14,B,A29,RAM 1500 ST CREW CAB 4X2,,,
H,C,DS1P41,1,2TH,A14,2,A25,RAM 1500 LARAMIE QUAD CAB,,,4X2
H,C,DS1P41,2,,A14,2,A25,RAM 1500 LARAMIE QUAD CAB,,,4X2
H,C,DS1P91,1,2TH,A14,2,A25,RAM 1500 LARAMIE CREW CAB,,,4X2
H,C,DS1P91,2,,A14,2,A25,RAM 1500 LARAMIE CREW CAB,,,4X2
H,C,DS1P98,1,2TH,A14,2,A25,RAM 1500 LARAMIE CREW CAB,,,4X2
